"method","cv_scheme","prob","SE","df","asymp.LCL","asymp.UCL"
"pr","classic",0.0372513993475179,0.000738615011265293,Inf,0.035830475037988,0.0387264097550947
"randomraw","classic",0.0276717943792569,0.000638206400734423,Inf,0.0264480253710339,0.0289505042057765
"random","classic",0.0191374674609762,0.000532178503759682,Inf,0.0181218161116273,0.02020887020396
"EGAD","classic",0.116609697988803,0.00135001785229207,Inf,0.11398965743942,0.119281852415547
"ppr","classic",0.205939282275226,0.00164994936440865,Inf,0.202724241743165,0.209191932336418
"raw","classic",0.284884508371478,0.0017996376894195,Inf,0.281370458927882,0.288424830673887
"gm","classic",0.17083915355723,0.00149711162542858,Inf,0.167924843909102,0.173793476623104
"mc","classic",0.145333097463763,0.00139985149821286,Inf,0.142610875791582,0.148098306488056
"z","classic",0.270623864825303,0.00177791935649866,Inf,0.26715335055697,0.274122599641861
"knn","classic",0.230517751063157,0.00167963197482049,Inf,0.227242209117913,0.233826221175738
"wsld","classic",0.224180304512779,0.00166654886617081,Inf,0.22093085653741,0.227463591324904
"COSNet","classic",0.153144262723095,0.00147629722623004,Inf,0.150273111027617,0.156060196314927
"bagsvm","classic",0.281880019926617,0.00179447252136426,Inf,0.278376285096525,0.28541041219021
"rf","classic",0.323128637255497,0.00188978056442532,Inf,0.319435884439244,0.326843577553083
"svm","classic",0.254196450533429,0.00177061436560688,Inf,0.25074175110734,0.257682378587563
"pr","block",0.010987899838145,0.000229561345377913,Inf,0.0105469583809812,0.0114470626623166
"randomraw","block",0.00810537969055534,0.000194453060004912,Inf,0.00773301140543768,0.00849552513628571
"random","block",0.0055710042545671,0.000159257103651434,Inf,0.00526740395177675,0.00589199968876694
"EGAD","block",0.0365181665509681,0.000486492523800204,Inf,0.0355765435428353,0.0374837433412964
"ppr","block",0.0693067357864834,0.0007033447111773,Inf,0.0679408300148197,0.0706980192680591
"raw","block",0.102645535830695,0.000888980383427499,Inf,0.100916216251261,0.104401048285222
"gm","block",0.0558560512571443,0.000601190453396957,Inf,0.0546893660408382,0.0570461233524041
"mc","block",0.0465529916440396,0.000536275827821526,Inf,0.0455131248973128,0.0476154316615644
"z","block",0.0962791477151074,0.000855209607360542,Inf,0.094615954466435,0.0979684136253915
"knn","block",0.079204918325282,0.000751839381509625,Inf,0.0777438124606234,0.0806910814555255
"wsld","block",0.0766132170687924,0.000737161632265975,Inf,0.0751808422174053,0.0780705783293285
"COSNet","block",0.0493616878702394,0.000571086246031308,Inf,0.0482543349600969,0.0504931044231832
"bagsvm","block",0.101290770849631,0.000881555307155972,Inf,0.0995759827087083,0.103031710171912
"rf","block",0.120549179430325,0.000997895298312822,Inf,0.118606991445147,0.122518749875182
"svm","block",0.0891413887579511,0.000824116074000965,Inf,0.0875392981671877,0.0907698830824376
"pr","representative",0.0116699946999836,0.000243236088352862,Inf,0.0112027581583276,0.0121564788264276
"randomraw","representative",0.00861009439999173,0.000206192085341545,Inf,0.00821522552455273,0.00902377015719346
"random","representative",0.00591884738872641,0.000168987944385128,Inf,0.00559668244762802,0.00625944055491851
"EGAD","representative",0.0387230498067296,0.000512756438472879,Inf,0.0377304871508124,0.0397406451046564
"ppr","representative",0.0733406222969938,0.000736797520393471,Inf,0.0719095535205838,0.0747978754405948
"raw","representative",0.108393859614427,0.000926239697412375,Inf,0.106591772355038,0.110222654954522
"gm","representative",0.0591568236255041,0.000631057268883975,Inf,0.0579320234853342,0.0604058581335838
"mc","representative",0.0493327320635115,0.00056387317703072,Inf,0.0482392245250796,0.0504497137664474
"z","representative",0.101711353993429,0.000891926785692638,Inf,0.0999764833194938,0.103472868450705
"knn","representative",0.0837630624403523,0.000786125217077899,Inf,0.0822351048975403,0.0853167708029819
"wsld","representative",0.0810353380107568,0.000771116208464028,Inf,0.0795367717571899,0.0825596065390369
"COSNet","representative",0.0522999397005268,0.000600337617892979,Inf,0.051135727714983,0.0534891632365047
"bagsvm","representative",0.106972269745478,0.000918687262482229,Inf,0.105184969091902,0.108786247997021
"rf","representative",0.127158061000927,0.00103736603904176,Inf,0.125138709714699,0.129205185841004
"svm","representative",0.0942128563383765,0.00086060335460794,Inf,0.0925395801071698,0.095913190455853
